id,name,url
From+the+Vault%3A+Legends,From the Vault: Legends,https://www.magiccardmarket.eu/Expansions/From+the+Vault%3A+Legends
From+the+Vault%3A+Lore,From the Vault: Lore,https://www.magiccardmarket.eu/Expansions/From+the+Vault%3A+Lore
From+the+Vault%3A+Realms,From the Vault: Realms,https://www.magiccardmarket.eu/Expansions/From+the+Vault%3A+Realms
From+the+Vault%3A+Relics,From the Vault: Relics,https://www.magiccardmarket.eu/Expansions/From+the+Vault%3A+Relics
From+the+Vault%3A+Transform,From the Vault: Transform,https://www.magiccardmarket.eu/Expansions/From+the+Vault%3A+Transform
From+the+Vault%3A+Twenty,From the Vault: Twenty,https://www.magiccardmarket.eu/Expansions/From+the+Vault%3A+Twenty
Future+Sight,Future Sight,https://www.magiccardmarket.eu/Expansions/Future+Sight
Game+Day+Promos,Game Day Promos,https://www.magiccardmarket.eu/Expansions/Game+Day+Promos
GamingEtc+Tokens,GamingEtc Tokens,https://www.magiccardmarket.eu/Expansions/GamingEtc+Tokens
Gatecrash,Gatecrash,https://www.magiccardmarket.eu/Expansions/Gatecrash
Gateway+Promos,Gateway Promos,https://www.magiccardmarket.eu/Expansions/Gateway+Promos
GnD+Cards,GnD Cards,https://www.magiccardmarket.eu/Expansions/GnD+Cards
Grand+Prix+Promos,Grand Prix Promos,https://www.magiccardmarket.eu/Expansions/Grand+Prix+Promos
Guildpact,Guildpact,https://www.magiccardmarket.eu/Expansions/Guildpact
Guru+Lands,Guru Lands,https://www.magiccardmarket.eu/Expansions/Guru+Lands
Happy+Holidays+Promos,Happy Holidays Promos,https://www.magiccardmarket.eu/Expansions/Happy+Holidays+Promos
Harper+Prism+Promos,Harper Prism Promos,https://www.magiccardmarket.eu/Expansions/Harper+Prism+Promos
Hascon+2017+Promos,Hascon 2017 Promos,https://www.magiccardmarket.eu/Expansions/Hascon+2017+Promos
Hobby+Japan+Commemorative+Promos,Hobby Japan Commemorative Promos,https://www.magiccardmarket.eu/Expansions/Hobby+Japan+Commemorative+Promos
Homelands,Homelands,https://www.magiccardmarket.eu/Expansions/Homelands
Hour+of+Devastation,Hour of Devastation,https://www.magiccardmarket.eu/Expansions/Hour+of+Devastation
Hour+of+Devastation%3A+Promos,Hour of Devastation: Promos,https://www.magiccardmarket.eu/Expansions/Hour+of+Devastation%3A+Promos
IDW+Promos,IDW Promos,https://www.magiccardmarket.eu/Expansions/IDW+Promos
Ice+Age,Ice Age,https://www.magiccardmarket.eu/Expansions/Ice+Age
Iconic+Masters,Iconic Masters,https://www.magiccardmarket.eu/Expansions/Iconic+Masters
Innistrad,Innistrad,https://www.magiccardmarket.eu/Expansions/Innistrad
International+Edition,International Edition,https://www.magiccardmarket.eu/Expansions/International+Edition
Introductory+Two-Player+Set,Introductory Two-Player Set,https://www.magiccardmarket.eu/Expansions/Introductory+Two-Player+Set
Invasion,Invasion,https://www.magiccardmarket.eu/Expansions/Invasion
Ixalan,Ixalan,https://www.magiccardmarket.eu/Expansions/Ixalan
Ixalan%3A+Promos,Ixalan: Promos,https://www.magiccardmarket.eu/Expansions/Ixalan%3A+Promos
Japan+Junior+Tournament+Promos,Japan Junior Tournament Promos,https://www.magiccardmarket.eu/Expansions/Japan+Junior+Tournament+Promos
Javi+Alterations+Tokens,Javi Alterations Tokens,https://www.magiccardmarket.eu/Expansions/Javi+Alterations+Tokens
JingHe+Age%3A+2002+Tokens,JingHe Age: 2002 Tokens,https://www.magiccardmarket.eu/Expansions/JingHe+Age%3A+2002+Tokens
JingHe+Age%3A+MtG+10th+Anniversary+Tokens,JingHe Age: MtG 10th Anniversary Tokens,https://www.magiccardmarket.eu/Expansions/JingHe+Age%3A+MtG+10th+Anniversary+Tokens
Journey+into+Nyx,Journey into Nyx,https://www.magiccardmarket.eu/Expansions/Journey+into+Nyx
Judge+Program+Tokens,Judge Program Tokens,https://www.magiccardmarket.eu/Expansions/Judge+Program+Tokens
Judge+Rewards+Promos,Judge Rewards Promos,https://www.magiccardmarket.eu/Expansions/Judge+Rewards+Promos
Judgment,Judgment,https://www.magiccardmarket.eu/Expansions/Judgment
Junior+APAC+Series+Promos,Junior APAC Series Promos,https://www.magiccardmarket.eu/Expansions/Junior+APAC+Series+Promos
Junior+Series+Promos,Junior Series Promos,https://www.magiccardmarket.eu/Expansions/Junior+Series+Promos
Junior+Super+Series+Promos,Junior Super Series Promos,https://www.magiccardmarket.eu/Expansions/Junior+Super+Series+Promos
Kaladesh,Kaladesh,https://www.magiccardmarket.eu/Expansions/Kaladesh
Kaladesh+Inventions,Kaladesh Inventions,https://www.magiccardmarket.eu/Expansions/Kaladesh+Inventions
Kaladesh%3A+Promos,Kaladesh: Promos,https://www.magiccardmarket.eu/Expansions/Kaladesh%3A+Promos
Khans+of+Tarkir,Khans of Tarkir,https://www.magiccardmarket.eu/Expansions/Khans+of+Tarkir
Khans+of+Tarkir%3A+Promos,Khans of Tarkir: Promos,https://www.magiccardmarket.eu/Expansions/Khans+of+Tarkir%3A+Promos
League+Promos,League Promos,https://www.magiccardmarket.eu/Expansions/League+Promos
Legends,Legends,https://www.magiccardmarket.eu/Expansions/Legends
Legends+Italian,Legends Italian,https://www.magiccardmarket.eu/Expansions/Legends+Italian
Legions,Legions,https://www.magiccardmarket.eu/Expansions/Legions
Lorwyn,Lorwyn,https://www.magiccardmarket.eu/Expansions/Lorwyn
MKM+Products,MKM Products,https://www.magiccardmarket.eu/Expansions/MKM+Products
MKM+Series,MKM Series,https://www.magiccardmarket.eu/Expansions/MKM+Series
Magic+2010,Magic 2010,https://www.magiccardmarket.eu/Expansions/Magic+2010
Magic+2011,Magic 2011,https://www.magiccardmarket.eu/Expansions/Magic+2011
Magic+2012,Magic 2012,https://www.magiccardmarket.eu/Expansions/Magic+2012
Magic+2013,Magic 2013,https://www.magiccardmarket.eu/Expansions/Magic+2013
Magic+2014,Magic 2014,https://www.magiccardmarket.eu/Expansions/Magic+2014
Magic+2015,Magic 2015,https://www.magiccardmarket.eu/Expansions/Magic+2015
Magic+Origins,Magic Origins,https://www.magiccardmarket.eu/Expansions/Magic+Origins
Magic+Origins%3A+Promos,Magic Origins: Promos,https://www.magiccardmarket.eu/Expansions/Magic+Origins%3A+Promos
Magic+Premiere+Shop+Promos,Magic Premiere Shop Promos,https://www.magiccardmarket.eu/Expansions/Magic+Premiere+Shop+Promos
Magic+Scholarship+Series+Promos,Magic Scholarship Series Promos,https://www.magiccardmarket.eu/Expansions/Magic+Scholarship+Series+Promos
Magic+the+Gathering+Products,Magic the Gathering Products,https://www.magiccardmarket.eu/Expansions/Magic+the+Gathering+Products
Masters+25,Masters 25,https://www.magiccardmarket.eu/Expansions/Masters+25
Mercadian+Masques,Mercadian Masques,https://www.magiccardmarket.eu/Expansions/Mercadian+Masques
Mezzocielo+%26+Friends+Classic+Tokens,Mezzocielo & Friends Classic Tokens,https://www.magiccardmarket.eu/Expansions/Mezzocielo+%26+Friends+Classic+Tokens
Mezzocielo+%26+Friends+Mini+Tokens,Mezzocielo & Friends Mini Tokens,https://www.magiccardmarket.eu/Expansions/Mezzocielo+%26+Friends+Mini+Tokens
Mirage,Mirage,https://www.magiccardmarket.eu/Expansions/Mirage
Mirrodin,Mirrodin,https://www.magiccardmarket.eu/Expansions/Mirrodin
Mirrodin+Besieged,Mirrodin Besieged,https://www.magiccardmarket.eu/Expansions/Mirrodin+Besieged
Misprints,Misprints,https://www.magiccardmarket.eu/Expansions/Misprints
Modern+Event+Deck+2014,Modern Event Deck 2014,https://www.magiccardmarket.eu/Expansions/Modern+Event+Deck+2014
